"key","selector","status","exit_code","nodes","states","generated","wall_seconds","stdout_path","stderr_path","solver_sha256","notes"
"path_4_9_5","--branch-path 4,9,5","ZERO","0","679469","44400","4516371","92.3087241","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_5_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_5_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_6","--branch-path 4,9,6","ZERO","0","505729","34619","3590352","70.4081887","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_6_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_6_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_7","--branch-path 4,9,7","ZERO","0","266822","18070","1797673","38.0478747","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_7_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_7_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"root_2","--root-branch 2","ZERO","0","21430325","1572468","158753337","4443.2799733","work/a2_solver/row7_partition_runs/g001_row7_root2_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_root2_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_12","--branch-path 4,9,12","ZERO","0","587980","65321","6926717","102.5777652","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_12_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_12_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_3_1","--branch-path 3,1","ZERO","0","12555992","1024095","105818384","2121.243967","work/a2_solver/row7_partition_runs/g001_row7_path_3_1_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_3_1_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_11","--branch-path 4,9,11","ZERO","0","5736021","576713","61184215","955.3711129","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_11_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_11_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_9","--branch-path 4,9,9","ZERO","0","7292207","661872","69500990","1194.8213735","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_9_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_9_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_8","--branch-path 4,9,8","ZERO","0","7531957","699537","73595452","1231.7452345","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_8_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_8_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_10","--branch-path 4,9,10","ZERO","0","8072323","734301","77049941","1300.6663311","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_10_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_10_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_8","--branch-path 4,8","ZERO","0","15695389","1668415","178874863","2900.0851177","work/a2_solver/row7_partition_runs/g001_row7_path_4_8_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_8_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_13","--branch-path 4,9,13","ZERO","0","9844809","1121703","120891237","1834.4514908","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_13_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_13_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_14","--branch-path 4,9,14","ZERO","0","10089607","1115874","120106102","1858.9774673","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_14_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_14_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_2","--branch-path 4,9,15,2","ZERO","0","125162","9697","1000394","22.1484542","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_2_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_2_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_7","--branch-path 4,9,15,7","ZERO","0","384328","27790","2870233","61.0204297","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_7_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_7_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_8","--branch-path 4,9,15,8","ZERO","0","293296","21566","2190150","45.1948967","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_8_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_8_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_9","--branch-path 4,9,15,9","ZERO","0","269224","18357","1887321","30.4470057","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_9_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_9_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_4","--branch-path 4,9,15,4","ZERO","0","148051","10239","1002133","52.1175167","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_4_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_4_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_11","--branch-path 4,9,15,11","ZERO","0","104641","8357","858378","30.3186048","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_11_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_11_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_0","--branch-path 4,9,15,0","ZERO","0","362570","24303","2505283","69.8282419","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_0_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_0_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_1","--branch-path 4,9,15,1","ZERO","0","276498","19560","1960869","83.389566","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_1_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_1_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_3","--branch-path 4,9,15,3","ZERO","0","431063","27304","2769619","84.3411833","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_3_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_3_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_5","--branch-path 4,9,15,5","ZERO","0","294948","20558","2059507","76.5840688","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_5_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_5_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_10","--branch-path 4,9,15,10","ZERO","0","186280","13708","1410433","81.1598095","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_10_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_10_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_6","--branch-path 4,9,15,6","ZERO","0","542717","37549","3863669","128.6596799","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_6_retry1_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_6_retry1_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_16","--branch-path 4,9,15,16","ZERO","0","416635","47799","5113742","139.7408912","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_16_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_16_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_17","--branch-path 4,9,15,17","ZERO","0","437945","49169","5229954","135.2872086","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_17_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_17_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_18","--branch-path 4,9,15,18","ZERO","0","481611","52216","5558975","162.5662527","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_18_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_18_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_13","--branch-path 4,9,15,13","ZERO","0","3316428","339682","35700626","906.7782968","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_13_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_13_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_15","--branch-path 4,9,15,15","ZERO","0","2955176","336184","35953557","840.1477048","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_15_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_15_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_12","--branch-path 4,9,15,12","ZERO","0","3410490","357340","37722041","954.706581","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_12_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_12_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_14","--branch-path 4,9,15,14","ZERO","0","3334191","340844","35715896","896.9946722","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_14_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_14_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_19","--branch-path 4,9,15,19","ZERO","0","5081369","630633","67976336","1330.1301537","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_19_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_19_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_20","--branch-path 4,9,15,20","ZERO","0","5164759","618473","66622662","1299.9267317","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_20_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_20_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_21","--branch-path 4,9,15,21","ZERO","0","5039626","610003","65711725","1284.4964053","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_21_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_21_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
"path_4_9_15_22","--branch-path 4,9,15,22","ZERO","0","16799392","2245779","233395835","3231.8936074","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_22_uncapped_prod_20260816.stdout.txt","work/a2_solver/row7_partition_runs/g001_row7_path_4_9_15_22_uncapped_prod_20260816.stderr.txt","9F894F39EFB71E9C8506E5C5B312289B1D3BEFE95C95B911DF8613F2E24BAFFB","uncapped; production exact-cover flags; stderr empty"
