"key","selector","status","exit_code","nodes","states","generated","wall_seconds","stdout_path","stderr_path","solver_sha256","arguments","notes"
"path_2_0","path:2,0","ZERO","0","564440","34276","3422848","49.1755386","work/a2_solver/row1_partition_runs/row1_path_2_0_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_0_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,0 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_1","path:2,1","ZERO","0","1265638","68846","6352421","127.0178564","work/a2_solver/row1_partition_runs/row1_path_2_1_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_1_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,1 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_2","path:2,2","ZERO","0","1385153","76562","7189383","142.3727486","work/a2_solver/row1_partition_runs/row1_path_2_2_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_2_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,2 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_3","path:2,3","ZERO","0","966807","58141","5712110","121.6385612","work/a2_solver/row1_partition_runs/row1_path_2_3_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_3_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,3 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"root_0","root:0","ZERO","0","12912016","1020858","105174479","2341.5936303","work/a2_solver/row1_partition_runs/row1_root0_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_root0_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --root-branch 0 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_4","path:2,4","ZERO","0","8025078","754204","79118804","1964.5115633","work/a2_solver/row1_partition_runs/row1_path_2_4_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_4_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,4 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"root_1","root:1","ZERO","0","18808538","1340415","134494938","3041.3284679","work/a2_solver/row1_partition_runs/row1_root1_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_root1_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --root-branch 1 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_5","path:2,5","ZERO","0","15204522","1224719","125342814","2681.2841874","work/a2_solver/row1_partition_runs/row1_path_2_5_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_5_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,5 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_6","path:2,6","ZERO","0","12033708","907180","92723807","1999.8780396","work/a2_solver/row1_partition_runs/row1_path_2_6_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_6_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,6 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
"path_2_9_0","path:2,9,0","ZERO","0","472512","29695","3031093","63.0550506","work/a2_solver/row1_partition_runs/row1_path_2_9_0_prod_20260816.stdout.txt","work/a2_solver/row1_partition_runs/row1_path_2_9_0_prod_20260816.stderr.txt","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","--mode g001_row1 --branch-path 2,9,0 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","uncapped; production exact-cover flags; stderr empty"
