"profile_set","child","branch_path","configuration","status","exit_code","wall_seconds","nodes","frontier","solution_topologies","multi_cover","cover_validation_fail","solver_sha256","source_sha256","plan_sha256","fanout_sha256","arguments","result_line","stdout_path","stderr_path","done_path","started_local","ended_local"
"row1_split79_v1","22","2,9,15,22,22","baseline","FRONTIER","0","0.2817089","7088","6038","0","off","not_applicable","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","134373D19AD4B1B1DFB30595F73BEABCEF30FA21C19B74A652669FB7705A72D9","3CAC29583013A86A5951CB85B846F634EFA9E5791C55D4A3D59EF9E65A68C316","BCFA8A6AE25CEB7CCEC9597C7ABBEE9FF924060F8400DD09E47EAB2A33D4D58E","--mode g001_row1 --branch-path 2,9,15,22,22 --stop-edges 12","RESULT mode=g001_row1 status=FRONTIER nodes=7088 states=7001 generated=66411 duplicate=0 collision=59246 range=0 parity=87 diameter=0 g002=0 cutlower=0 cutupper=0 late_t9a=0 solution_topologies=0 depth=3:1,4:1,5:1,6:1,7:1,8:1,9:14,10:112,11:832,12:6124, root_valid=3 frontier=6038 frontier_mex=16:2184,19:333,20:2240,22:672,23:231,24:213,25:117,26:29,28:7,29:2,30:7,31:3, frontier_odd=3:74,4:2648,5:3316, frontier_q3=11:6038, child_max=3:3,4:10,5:16,6:23,7:31,8:14,9:21,10:26,11:38,","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.baseline.stdout.txt","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.baseline.stderr.txt","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.baseline.done.txt","2026-08-16T15:06:26.4582103-04:00","2026-08-16T15:06:26.7726738-04:00"
"row1_split79_v1","22","2,9,15,22,22","cover","FRONTIER","0","5.6550972999999995","5868","3036","0","on","0","5F50BEC4D18947680EE170BF22AF747D1E74EA203E34E305EAE27768439B46AD","134373D19AD4B1B1DFB30595F73BEABCEF30FA21C19B74A652669FB7705A72D9","3CAC29583013A86A5951CB85B846F634EFA9E5791C55D4A3D59EF9E65A68C316","BCFA8A6AE25CEB7CCEC9597C7ABBEE9FF924060F8400DD09E47EAB2A33D4D58E","--mode g001_row1 --branch-path 2,9,15,22,22 --stop-edges 12 --multi-edge-cover --multi-edge-cover-no-hall --multi-edge-cover-max-components 6 --multi-edge-cover-budget 100 --multi-edge-cover-no-exact-hall","RESULT mode=g001_row1 status=FRONTIER nodes=5868 states=3732 generated=48494 duplicate=0 collision=42549 range=0 parity=69 diameter=0 g002=0 cutlower=0 cutupper=0 late_t9a=0 solution_topologies=0 depth=3:1,4:1,5:1,6:1,7:1,8:1,9:14,10:103,11:704,12:5041, root_valid=3 frontier=3036 frontier_mex=16:1433,19:173,20:959,22:275,23:94,24:70,25:21,26:8,29:1,30:2, frontier_odd=3:22,4:1082,5:1932, frontier_q3=11:3036, multi_cover=on cover_checks=5799 cover_skipped=6 cover_skipped_full=690 cover_local_slots=15389 cover_local_patterns=15271 cover_slots=64388 cover_patterns=260814 cover_candidates=18175739 cover_no_candidate=873 cover_hall_fail=0 cover_exact_calls=4230 cover_exact_fail=1194 cover_exact_pass=0 cover_exact_budget=3036 cover_exact_cap=0 cover_exact_states=351143 cover_exact_hall_fail=0 cover_validation_fail=0 cover_shadow_reject=0 child_max=3:3,4:10,5:16,6:23,7:31,8:14,9:21,10:26,11:38,","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.cover.stdout.txt","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.cover.stderr.txt","work/a2_solver/row1_profile_runs/row1_split79_v1.path_2_9_15_22_22.cover.done.txt","2026-08-16T15:06:26.8204458-04:00","2026-08-16T15:06:32.4789218-04:00"
